Responder_id,Age
1,14
2,19
3,28
4,22
5,30
6,28
7,42
8,24
9,23
11,22
12,21
13,28
14,31
15,20
16,26
17,29
19,31
20,38
22,47
23,22
24,23
25,22
26,34
27,22
29,32
30,28
32,21
33,25
34,17
35,35
36,21
37,27
38,44
39,42
40,23
42,30
43,27
44,43
45,62
46,37
47,45
48,20
49,34
50,23
51,18
52,22
53,18
54,37
55,25
56,33
57,31
58,47
59,38
60,27
61,34
62,19
63,42
64,25
65,21
67,24
68,29
69,18
70,42
71,21
72,29
73,36
74,24
75,27
76,32
77,43
78,25
79,20
80,24
81,28
83,22
84,26
85,31
86,26
87,36
88,16
90,25
91,25
92,35
93,32
94,27
95,30
96,43
97,25
98,30
99,21
100,39
101,35
102,37
104,29
106,33
107,24
108,64
109,41
110,26
111,54
112,19
113,49
114,26
115,21
116,31
117,38
118,26
119,28
120,26
121,20
123,24
124,27
125,35
126,32
127,36
128,30
129,34
130,23
132,30
133,39
134,54
135,32
137,25
139,24
140,25
141,21
142,24
143,36
144,47
146,47
148,28
149,40
150,31
151,34
152,39
154,40
155,34
156,36
157,25
158,29
159,35
160,43
161,35
163,32
164,47
166,30
167,28
169,32
170,25
172,31
173,31
174,24
175,20
176,31
177,22
178,28
179,35
180,32
181,29
182,18
183,30
184,29
185,28
186,26
187,23
188,28
189,28
190,27
191,27
192,28
193,56
194,29
195,22
196,40
197,40
198,30
200,43
201,35
202,45
203,29
204,12
205,24
206,33
207,34
208,26
209,33
210,47
211,30
212,30
213,41
214,58
215,46
216,35
217,36
218,36
219,39
221,47
222,59
223,23
224,28
225,38
227,33
228,25
229,25
231,31
232,32
233,36
234,45
235,21
236,29
237,21
238,31
240,21
241,32
242,30
243,17
244,44
245,35
246,33
247,33
248,30
249,24
250,27
251,20
252,27
253,28
254,41
255,20
256,20
257,43
258,23
259,31
261,27
262,24
263,40
265,40
266,33
267,23
268,25
269,32
270,18
271,24
272,39
273,29
274,35
275,34
276,29
277,29
278,31
279,27
280,47
281,40
283,26
284,19
285,32
286,23
289,37
290,30
292,27
293,31
295,36
296,22
297,34
298,23
299,25
301,39
302,33
303,28
304,30
305,28
306,51
307,21
308,36
309,20
310,32
311,24
312,31
313,23
314,47
315,23
316,22
317,24
318,21
319,30
320,46
321,32
322,23
323,48
324,34
325,49
326,34
328,31
329,47
330,35
331,29
332,24
333,33
334,30
335,30
336,38
337,31
338,28
339,16
340,35
341,23
342,35
343,24
344,29
345,33
346,19
347,41
348,39
349,26
350,19
351,25
352,26
353,30
354,25
355,35
356,29
357,33
358,24
359,37
360,28
361,25
362,32
363,37
364,40
366,22
367,42
368,25
369,18
370,32
371,30
372,25
373,37
374,26
375,57
376,25
377,37
378,32
379,19
380,34
381,22
382,26
383,38
384,28
386,27
388,27
389,38
390,43
391,16
392,52
394,30
395,41
396,46
397,39
398,22
399,31
400,48
401,31
402,49
403,19
404,27
405,30
406,24
407,21
408,32
409,33
410,43
411,33
412,28
413,35
414,44
415,50
416,21
417,23
418,45
419,23
421,27
422,19
423,34
424,28
425,44
426,29
427,32
428,28
429,51
430,20
431,64
432,24
433,20
434,41
435,24
436,38
437,25
438,24
439,23
440,34
441,20
442,33
443,28
444,33
445,31
446,25
447,29
449,44
450,24
451,20
452,35
453,39
455,29
456,24
457,35
458,25
459,33
460,32
461,55
462,37
463,29
464,26
465,39
466,23
467,23
468,40
469,28
470,23
471,26
472,46
473,28
474,23
475,30
476,29
477,31
478,17
479,46
480,19
481,38
482,41
483,22
484,15
485,22
486,31
487,24
488,25
489,32
490,30
491,22
492,48
493,22
494,20
495,23
496,27
497,41
498,25
499,27
500,27
501,18
502,21
503,37
504,51
505,21
506,24
507,24
510,23
511,33
513,16
514,31
515,20
516,29
517,25
519,34
520,24
521,35
522,41
523,21
524,31
525,31
526,32
527,31
528,29
529,20
530,67
531,22
532,21
533,30
536,22
537,22
538,19
539,40
540,23
541,31
542,30
543,22
544,38
545,24
546,19
547,25
548,46
550,37
551,30
552,29
553,42
554,25
555,24
556,30
557,44
558,36
560,33
561,24
562,23
563,35
564,35
565,20
566,40
568,22
569,30
571,30
572,21
573,55
574,30
575,28
576,21
577,16
578,28
579,32
580,42
581,27
582,24
583,23
585,23
587,30
589,24
590,25
591,29
592,29
593,23
594,23
595,33
597,34
598,41
599,22
600,15
602,31
603,43
604,29
605,30
606,35
607,29
608,28
611,22
613,34
614,34
615,29
616,30
617,27
618,21
619,22
621,23
622,26
623,29
624,18
625,32
626,30
627,28
628,33
629,14
630,25
631,32
632,41
633,52
635,36
636,42
638,34
639,24
640,36
642,17
643,39
644,19
645,30
646,35
647,23
648,58
650,24
652,44
654,37
655,21
656,43
657,37
658,28
659,28
660,35
661,27
662,31
663,24
664,30
665,52
666,33
667,36
668,27
669,23
670,28
671,29
672,24
673,13
674,18
675,28
677,31
678,31
679,27
680,36
681,24
682,37
683,23
684,27
685,29
686,37
687,23
688,19
689,24
691,28
692,37
693,33
694,37
695,25
696,28
697,35
698,21
699,28
700,20
701,29
703,34
704,31
705,32
706,40
707,24
708,36
709,32
710,15
711,34
712,28
714,22
715,41
716,38
717,23
718,35
720,34
721,36
722,1
723,24
724,39
725,49
726,30
727,22
728,22
729,36
731,24
732,25
733,50
734,28
735,33
736,33
737,52
738,18
739,24
740,29
741,22
742,19
743,26
744,38
746,32
747,40
748,24
749,34
750,21
751,32
752,34
753,27
754,55
755,37
756,27
757,28
758,31
759,50
760,42
761,28
762,45
763,30
764,33
765,27
766,37
767,30
768,34
769,24
770,29
771,27
772,25
773,21
774,26
776,31
777,45
778,32
779,24
780,24
781,29
782,20
783,22
784,24
785,37
786,26
787,29
788,41
789,31
790,25
791,24
792,24
793,28
794,64
795,22
796,41
797,36
798,20
799,21
800,21
801,30
802,42
803,39
805,27
806,31
807,39
808,44
810,33
811,24
812,41
813,43
814,24
815,50
816,37
817,23
818,23
819,33
820,18
821,29
822,34
823,35
824,22
825,26
826,19
828,28
829,32
830,36
831,30
832,21
833,30
834,28
835,36
837,21
838,31
839,32
841,35
842,44
843,27
844,27
845,44
846,22
848,26
849,18
850,36
851,20
852,28
853,26
854,46
855,40
856,45
857,23
858,17
859,30
860,24
861,27
862,29
863,18
864,25
865,27
866,35
867,42
868,21
869,30
870,25
871,23
872,32
873,23
874,25
875,18
876,29
877,49
878,32
879,17
880,30
881,20
882,20
883,46
884,28
885,23
886,26
887,33
888,34
890,28
891,15
892,33
893,22
894,27
896,21
898,25
899,28
900,26
901,25
902,23
903,22
904,40
907,25
909,28
910,25
911,22
912,27
913,20
914,51
915,38
916,41
917,33
918,20
919,32
920,28
921,30
922,28
923,31
925,28
926,20
927,22
928,27
929,32
930,33
931,35
932,34
933,24
934,27
935,38
936,16
937,15
938,31
939,22
941,20
942,28
943,36
944,32
945,27
946,37
947,18
948,32
949,24
951,42
952,38
953,23
954,19
955,40
957,26
958,28
959,35
960,20
962,29
964,30
965,22
967,36
968,31
969,27
970,53
971,33
972,27
973,22
975,28
976,16
977,45
978,27
979,40
980,35
981,35
982,19
983,29
984,25
985,26
986,24
987,20
989,19
990,25
991,29
992,20
993,36
994,33
995,23
996,18
997,25
999,28
1000,25
